,ev_city,ev_country,ev_state,latitude,longitude
35161,Miami,USA,FL,25.7616798,-80.1917902
35187,CEDAR RAPIDS   ,USA,IA,41.9778795,-91.6656232
35202,BURBANK        ,USA,CA,34.1808392,-118.3089661
35212,BEDFORD PARK   ,USA,IL,41.7641723,-87.7812524
35238,GARDNER        ,USA,KS,38.8108408,-94.9271868
35240,FORT MYERS     ,USA,FL,26.640628,-81.8723084
35244,BETHEL         ,USA,AK,60.7922222,-161.7558333
35250,"Naha, Okinawa",JA,,26.1951343,127.6697993
35272,Godensee,AU,,48.14300009999999,11.4248752
35275,MANILA         ,RP,,14.5995124,120.9842195
35283,CHARLESTON     ,USA,SC,32.7764749,-79.93105120000001
35309,Candido Mota,BR,,-22.7466667,-50.3880476
35310,QUITO          ,EC,,-0.1806532,-78.4678382
35365,BUGA,CO,,3.9005079,-76.30218889999999
35390,SAINT MARYS    ,USA,AK,62.0530556,-163.1658333
35391,MONTEREY       ,USA,CA,36.6002378,-121.8946761
35408,DAVENPORT      ,USA,IA,41.5236437,-90.5776367
35481,JAMAICA        ,USA,NY,40.702677,-73.7889689
35487,Ciudad Victoria,MX,,23.7369164,-99.14111539999999
35517,JACKSONVILLE   ,USA,FL,30.3321838,-81.65565099999999
35527,BIRMINGHAM     ,USA,AL,33.5206608,-86.80248999999999
35538,QUINCY         ,USA,CA,39.9368363,-120.9471764
35544,El Marques,MX,,20.5835963,-100.3729496
35554,Ciudad Real,SP,,-23.6325356,-46.7390576
35567,BULLHEAD CITY  ,USA,AZ,35.1359386,-114.5285981
35577,HONOLULU       ,USA,HI,21.3069444,-157.8583333
35579,GRUNWALD       ,AU,,49.3448892,12.0942761
35595,MOUNT ILIAMNA  ,USA,AK,60.0324921,-153.0880479
35619,Sosua,DR,,19.7519321,-70.5189177
35632,DESTIN         ,USA,FL,30.3935337,-86.4957833
35662,NORTH KANSAS CI,USA,MO,39.14290810000001,-94.5729781
35686,Mt. Salak,ID,,-6.716057500000001,106.733719
35695,DILLINGHAM     ,USA,AK,59.03972219999999,-158.4575
35730,MICHIGAN CITY  ,USA,IN,41.70753939999999,-86.8950297
35733,Louisville,USA,KY,38.2526647,-85.7584557
