,ev_city,ev_country,ev_state,latitude,longitude
3110,Kumealon Inlet,CA,,,
3162,ANAKTUVUK PASS ,USA,AK,,
3170,Uxbridge,CA,,,
3202,Tourrettes-sur-Loup,FR,,,
3248,MILWAUKEE      ,USA,WI,,
3294,Yogyakarta,ID,,,
3333,AUGUSTA        ,USA,GA,,
3379,SANTA ROSA     ,USA,CA,,
3400,SAN PAULO      ,BR,,,
3415,Boston,USA,MA,,
3425,BETTLES        ,USA,AK,,
3443,ANACORTES      ,USA,WA,,
3460,Menorca,SP,,,
3468,AUBENAS,FR,,,
3474,CLE ELUM       ,USA,WA,,
3545,Madeira Islands,PO,,,
3549,LITTLE ROCK    ,USA,AR,,
3550,SPARKS         ,USA,NV,,
3560,Sukabumi,ID,,,
3577,Kelowna,CA,,,
3589,MORRISVILLE    ,USA,NC,,
3623,ELKRIDGE       ,USA,MD,,
3625,MCALESTER      ,USA,OK,,
3636,Norfolk,UK,,,
3637,McClure Strait,CA,,,
3648,GULF OF MEXICO ,,GM,,
3668,WILMINGTON     ,USA,NC,,
3681,Frankfurt,GE,,,
3711,BINGHAMTON     ,USA,NY,,
3717,COLO SPRINGS   ,USA,CO,,
3793,ORLANDO        ,USA,FL,,
3800,Rendsburg-Schac,GE,,,
3818,KAFOUTINE,SG,,,
3825,QUINHAGAK      ,USA,AK,,
3841,COEUR D'ALENE  ,USA,ID,,
3843,MAUNALOA       ,USA,HI,,
3847,int'l waters,,,,
3851,COMOX LAKE     ,CA,,,
3869,BRADLEY LAKE   ,USA,AK,,
3875,MONROE         ,USA,LA,,
3921,Lake Vossemeer,NL,,,
3950,CHARLESTON     ,USA,WV,,
3961,TOK            ,USA,AK,,
3969,WANAKA         ,NZ,,,
4016,LINDEN         ,USA,NJ,,
4036,KASIGLUK       ,USA,AK,,
4043,NEACON         ,NU,,,
4092,SANTA CRUZ     ,BL,,,
4126,NOME           ,USA,AK,,
4130,ABERDEEN       ,USA,SD,,
4141,NO.MYRTLE BEACH,USA,SC,,
4189,TOMBALL        ,USA,TX,,
4192,CASCADE        ,USA,ID,,
4193,KENNSINGTON    ,USA,AK,,
4232,PUEBLO         ,USA,CO,,
4234,Queensland,AS,,,
4248,NUEVO LEON     ,MX,,,
4262,MAPLETON       ,USA,ME,,
4283,LONDON         ,UK,,,
4296,JACKSONVILLE   ,USA,FL,,
4297,Jakarta,ID,,,
4344,ELLENDALE      ,USA,MN,,
4366,KOTZEBUE       ,USA,AK,,
4400,RANGALI,MV,,,
4416,DURANGO        ,USA,CO,,
4427,KENOSHA        ,USA,WI,,
4461,ANCHORAGE      ,USA,AK,,
4470,San Juan,AR,,,
4490,WARREN         ,USA,MI,,
4491,MAYAGUEZ       ,,PR,,
4497,Bogota,CO,,,
4500,SHENZHEN       ,CH,,,
4505,Panama City,PM,,,
4512,Itzehoe,GE,,,
4525,Sao Paulo,BR,,,
4526,VAN NUYS       ,USA,CA,,
4609,KASIGLUK       ,USA,AK,,
4619,Stockholm,SW,,,
4626,HUNTINGTON     ,USA,WV,,
4636,DALLAS         ,USA,TX,,
4640,APOPKA         ,USA,FL,,
4641,San Luis Potosi,MX,,,
4651,YOUNGSTOWN     ,USA,OH,,
4656,LITTLE ROCK    ,USA,AR,,
4669,FALLS CREEK    ,USA,AK,,
4686,ROMEY MARSH    ,UK,,,
4697,Belize City,BH,,,
4703,NEAR NONDALTON ,USA,AK,,
4716,TAU,AQ,,,
4728,Trinidad,BL,,,
4739,SPRINGDALE     ,USA,AR,,
4740,GLENNALLEN     ,USA,AK,,
4756,HELENA         ,USA,MT,,
4759,HOUSTON        ,USA,TX,,
4787,KEY WEST       ,USA,FL,,
4794,HONG KONG,CH,,,
4799,GUATEMALA CITY ,PM,,,
4810,BAINBRIDGE     ,USA,NY,,
4816,NORFOLK        ,USA,VA,,
4836,PANAMA CITY    ,PM,,,
4844,OPA LOCKA      ,USA,FL,,
4851,BETHEL         ,USA,AK,,
4862,GILLETTE       ,USA,WY,,
4872,LA PAZ         ,BL,,,
4907,PITTSBURGH     ,USA,PA,,
4908,WHEELING       ,USA,WV,,
4913,GUADALAJARA    ,MX,,,
4921,TALKEETNA      ,USA,AK,,
4932,SO. MARSH 275  ,,GM,,
4938,Bridgetown,BB,,,
4939,SHAWNEE        ,USA,OK,,
4959,SOUTH PELTO    ,,GM,,
4976,TALKEETNA      ,USA,AK,,
4983,Ciudad Juarez,MX,,,
4998,AVENAL         ,USA,CA,,
5059,Sulaimaniya,IZ,,,
5064,LAKE ARTHUR    ,USA,LA,,
5068,PITTSBURGH     ,USA,PA,,
5073,LONG BEACH     ,USA,CA,,
5092,Lyon,FR,,,
5093,BRUNEAU        ,USA,ID,,
5111,ROCAFUERTE,EC,,,
5147,MELVILLE HALL  ,DO,,,
5148,DALLAS         ,USA,TX,,
5166,JAMAICA BEACH  ,USA,TX,,
5187,BOISE          ,USA,ID,,
5212,REYKJAVIK      ,IC,,,
5216,CREGNEASH      ,UK,,,
5231,WHYALLA        ,AS,,,
5239,Bishankhunarayan,NP,,,
5285,NORTH SEA      ,NL,,,
5292,ORLANDO        ,USA,FL,,
5296,HONOLULU       ,USA,HI,,
5314,LAKE ERIE      ,CA,,,
5341,ALMA           ,USA,OR,,
5375,CARIBOU LAKE   ,USA,AK,,
5397,ILIAMNA        ,USA,AK,,
5412,NORWOOD        ,USA,MA,,
5416,VENICE         ,USA,LA,,
5419,Rosario   ,AR,,,
5432,DUXSBURY       ,USA,VT,,
5457,Chicago,USA,IL,,
5487,PHOENIX        ,USA,AZ,,
5493,ANCHORAGE      ,USA,AK,,
5503,BOULDER CITY   ,USA,NV,,
5516,NAIROBI,KE,,,
5526,Milazzo,IT,,,
5575,Irkutsk,RS,,,
5644,Bitung,ID,,,
5659,OMEATH IRELAND ,EI,,,
5672,DETROIT        ,USA,MI,,
5674,SANTA ROSA     ,RP,,,
5688,SPRINGFIELD    ,USA,MO,,
5700,NEWARK         ,USA,NJ,,
5723,HOMER          ,USA,AK,,
5740,TUBA CITY      ,USA,AZ,,
5748,SAINT MARYS    ,USA,AK,,
5765,Nuqui,CO,,,
5773,Vienna,AU,,,
5774,MEMPHIS        ,USA,TN,,
5775,STRASBURG      ,FR,,,
5787,LAS VEGAS      ,USA,NV,,
5796,PLYMOUTH       ,USA,MI,,
5852,VERO BEACH     ,USA,FL,,
5895,W CAMERON 540  ,,GM,,
5932,,UY,,,
5934,VOLCANOES NTL P,USA,HI,,
5955,NEW ORLEANS    ,USA,LA,,
5991,DES MOINES     ,USA,IA,,
5993,BUENA VISTA    ,USA,CO,,
6005,Gulf of Mexico,USA,,,
6007,Detroit,USA,MI,,
6012,TULSA          ,USA,OK,,
6120,SACRAMENTO     ,USA,CA,,
6136,Pereira,CO,,,
6153,DENVER         ,USA,CO,,
6208,ANCHORAGE      ,USA,AK,,
6239,Ontario,USA,OR,,
6252,BECKLEY        ,USA,WV,,
6253,TAMPA          ,USA,FL,,
6258,BOULDER CITY   ,USA,NV,,
6272,DEADHORSE      ,USA,AK,,
6330,CLEVELAND      ,USA,OH,,
6339,PANAMA CITY    ,USA,FL,,
6345,INDIANAPOLIS   ,USA,IN,,
