aburrido
aburrida
aburridos
aburridas
afectuosa
afectuoso
afectuosos
afectuosas
agil
agiles
agradable
agradables
amable
amables
amargados
amargadas
amargado
amargada
ambiciosa
ambicioso
ambiociosas
angelical
angelicales
apasionado
apasionada
apasionados
apasionadas
apatico
apaticos
apaticas
apatica
ardiente
ardientes
atento
atenta
atentos
atentas
atontada
atontado
atontadas
atontados
atrevidos
atrevidas
atrevido
atrevida
aventureros
aventureras
aventurera
aventurero
avispados
avispadas
avispado
avispada
bastos
bastas
basto
basta
bastos
bastas
beligerante
beligerantes
brillantes
brillante
burlon
cascarrabias
cauto
cauta
cautos
cautas
celoso
celosa
celosos
celosas
cinico
cinica
cinicos
cinicas
coherente
coherentes
considerado
considerada
considerado
consideradas
considerados
consternado
consternada
consternados
consternadas
cordial
cordiales
cortante
cortantes
cruel
crueles
cuidadosos
cuidadosas
cuidadoso
cuidadosa
curiosas
curiosa
curiosos
curioso
debil
debiles
dependiente
dependientes
deprimidas
deprimida
deprimidos
deprimido
desconfiados
desconfiado
desconfiadas
desconfiada
desconsiderado
desconsiderados
desconsideradas
desconsiderada
descuidado
descuidada
descuidados
descuidadas
desocupados
desocupado
desocupada
desocupadas
diligentes
diligente
diplomatico
diplomatica
diplomaticos
diplimaticas
directos
directo
directa
directas
discreto
discreta
discretos
discretas
distantes
distante
distraidos
distraidas
distraido
distraida
divertidos
divertido
divertida
divertidas
dubitativo
dubitativa
dubitativos
dubitativas
dulce
dulces
educado
educada
educados
educadas
eficientes
eficiente
egoistas
egoista
elegantes
elegante
emprendedores
emprendedor
emprendedora
encantadores
encantador
encantadora
encantadoras
energeticas
energetico
energetica
energeticas
enfadados
enfadado
enfadada
enfadadas
engreidos
engreido
engreida
engreidas
entrometidos
entrometidas
entrometido
entrometida
entusiasmadas
entusiasmados
entusiasmado
entusiasmada
equilibrados
equilibradas
equilibrado
equilibrada
escandalosas
escandalosos
escandaloso
escandalosa
estoicos
estoico
estoica
estupidos
estupido
estupida
estupidas
excentrico
excentrica
excentricos
excentricas
experimentado
experimentada
experimentados
experimentadas
extravertido
extravertida
extravertidos
extravertidas
fervoroso
fervorosa
fervorosos
fervorosas
fiable
fiables
fofo
fofos
fofas
fofa
formal
formales
frio
frios
frias
fria
generosos
generosas
generoso
generosa
graciosas
graciosos
gracioso
graciosa
habil
habiles
hermoso
hermosa
hermosos
hermosas
histerico
histerica
histericos
histericas
holgazan
holgazanes
horrible
horribles
imaginativo
imaginativos
imaginativas
imaginativa
imbecil
imbeciles
impaciente
impacientes
impetuoso
impetuosos
impulsivo
impulsiva
impulsivos
impulsivas
independiente
independientes
ingenuo
ingenuos
ingenuas
ingenua
inmaduro
inmaduros
inmaduras
inmadura
inquietos
inquietas
inquieto
inquieta
insensible
insensibles
inteligente
inteligentes
interesante
interesantes
intolerantes
intolerante
intolerantes
intrepidos
intrepido
juguetones
juguetona
juguetonas
jugueton
listo
lista
listos
listas
lloron
llorones
lloronas
llorona
maduros
maduras
maduro
madura
maleducado
maleducados
maleducadas
maleducada
malhumorado
malhumorados
malhumoradas
malhumorada
malicioso
maliciosa
malicioso
maliciosa
malo
malos
malas
mala
maternal
maternales
melancolico
melancolicos
melancolica
melancolicas
meticulosos
meticuloso
meticulosa
meticulosas
mezquino
mezquinos
mezquinas
mezquina
modestos
modesto
modesta
molesto
molestos
molesta
molestas
mordaz
mordaces
nerviosos
nerviosas
nervioso
nerviosa
odioso
odiosas
odiosas
odiosa
orgulloso
orgullosos
orgullosas
orgullosa
paciente
pacientes
pacifico
pacificos
pacifica
pasional
pasionales
pensativo
pensativos
pensativa
pensativas
perezoso
perezosas
perezosos
perezosa
perseverante
perseverantes
perturbador
perturbadores
perturbadoras
perturbadora
picaro
picaros
picara
picaras
poderosos
poderoso
poderosa
poderosas
positivo
positivos
positivas
positiva
practico
practica
practicos
practicas
practica
pretencioso
pretenciosos
pretenciosas
pretenciosa
provocador
provocadores
provocadoras
provocadora
prudente
prudentes
puntual
puntuales
quisquilloso
quisquillosos
quisquillosa
quisquillosas
reacio
reacios
reacia
reacias
realista
realistas
recelosas
receloso
recelosa
recelosos
reservados
reservadas
reservado
reservada
responsables
responsable
ridiculo
ridiculos
ridiculas
ridicula
sagaz
sagaces
seguro
seguros
seguras
segura
sensatos
sensata
sensatas
sensato
sensible
sensibles
sereno
serena
serenos
serenas
serio
serios
serias
seria
servicial
serviciales
severo
severos
severas
severa
simpatico
simpaticos
simpaticas
simpatica
sincero
sinceros
sinceras
sincera
sofisticado
sofisticados
sofisticadas
sofisticada
somnoliento
somnolientos
somnolientas
somnolienta
sucio
sucios
sucia
sucias
superficial
superficiales
taciturno
taciturnos
taciturnas
taciturna
talentoso
talentosos
talentosas
talentosa
timido
timidos
timidas
timida
tonto
tontos
tonta
tontas
torpe
torpes
tranquilizadores
tranquilizador
tranquilizadora
tranquilizadoras
tranquilo
tranquilos
tranquilas
tranquila
traviesos
traviesas
travieso
traviesa
tristes
triste
valientes
valiente 
vivaz
vivaces
aburrido
aburridos
aburridas
aburrida
alto
altos
altas
alta
amable
amables
antipatico
antipaticos
antipatica
antipaticas
artistico
artisticos
artisticas
atletico
atleticos
atletica
atleticas
atractivo
atractivos
atractiva
atractivas
atrevido
atrevidas
atrevidos
atrevida
bajos
bajas
bajo
baja
bonito
bonitos
bonitas
bonita
comico
comicos
comicas
comica
cortes
curioso
curiosos
curiosas
curiosa
delgado
delgados
delgadas
delgada
desordenado
desordenados
desordenada
desordenadas
distraido
distraidos
distraidas
distraida
estricto
estrictos
estrictas
estricta
feo
feos
feas
fea
flaco
flacos
generoso
generosos
generosas
generosa
gordo
gordos
gordas
gorda
grande
grandes
guapo
guapos
guapa
guapas
honesto
honestos
honesta
honestas
impaciente
impacientes
inteligente
inteligentes
interesante
interesantes
loco
locos
loca
locas
ordenado
ordenada
ordenados
ordenadas
paciente
pacientes
popular
populares
prudente
prudentes
raro
raros
rara
raras
serio
serios
seria
serias
simpatico
simpaticos
simpaticas
sociable
sociables
sincero
sinceras
sinceros
sincera
trabajador
trabajadores
trabajadoras
trabajadora
timido
timidos
timidas
timida
abierto
abiertos
abiertas
abierta
diplomatico
diplomaticos
diplomaticas
diplomatica
objetivo
objetivos
objetivas
objetiva
activo
activos
activas
activa
discreto
discretos
discreta
discretas
optimista
optimistas
actual
actuales
orientado
orientados
orientada
orientadas
adaptable
adaptables
ecuanime
ecuanimes
ordenado
ordenados
ordenada
ordenadas
afable
afables
eficaz
eficaces
organizado
organizados
organizada
organizadas
agil
agiles
eficiente
eficientes
paciente
pacientes
alerta
alertas
ejecutivo
ejecutivos
ejecutiva
ejecutivas
perceptivo
perceptivos
perceptiva
perceptivas
amable
amables
emprendedor
emprendedores
emprendedoras
emprendedora
